;;;;;;
Информация о детских оздоровительных лагерях, расположенных на территории города Москвы, которые осуществляют деятельность в 2021 году;;;;;;
№ п/п;Наименование лагеря;Тип лагеря;Фактический адрес;Смены ;Фактическое количество отдохнувших детей;Средства оплаты путевки в лагерь
;;;;;;
1;"ООО ""Умный лагерь""";Круглосуточного пребывания; г. Москва, поселение Филимонковское, поселок Валуево;31 мая 2021 г. - 12 июня 2021 г.;190;Средства родителей
;;;;14 - 26 июня 2021 г.;216;
;;;;28 июня 2021 г. - 10 июля 2021 г.;199;
;;;;12 - 24 июля 2021 г.;203;
;;;;26 июля  - 7 августа  2021 г.;190;
;;;;9 -21 августа 2021 г.;225;
;;;;23 - 29 августа 2021 г.;52;
2;Преображенский оборонно-спортивный Центр Фонда спецназ ВДВ ;Круглосуточного пребывания;г. Москва, сельское поселение Щаповское, д. Кузенево;12 - 25 июня 2021 г.;94;Средства родителей
;;;;27 июня 2021 г. - 10 июля 2021 г.;96;
;;;;13 - 26 июля 2021 г.;104;
;;;;30 июля - 12 августа 2021 г.;104;
;;;;15 - 28 августа 2021 г.;102;
3;"Детский городской лагерь дневного прибывания ""Солнцеград""";Дневного пребывания;" г. Москва, 
г. Троицк, Микрорайон ""В"", 
д. 26, с. 1
 (18 км по МКАД от метро ""Теплый Стан"")";31 мая 2021 г. - 29 июня 2021 г. ;125;Муниципальные средства
4;"Детский городской лагерь дневного прибывания ""Звездный""";Дневного пребывания;" г. Москва, г. Троицк, 
ул. Школьная 10А
(18 км по МКАД от метро ""Теплый Стан"")";31 мая 2021 г. - 29 июня 2021 г. ;100;Муниципальные средства
5;"Детский городской лагерь дневного прибывания ""Изумрудик""";Дневного пребывания;"г. Москва, г. Троицк,  
ул. Школьная 10 
(18 км по МКАД от метро ""Теплый Стан"")";31 мая 2021 г. - 29 июня 2021 г.;125;Муниципальные средства
6;"Детский городской лагерь дневного прибывания ""Городской лагерь 
с аквапарком""";Дневного пребывания;"Метро ""Ясенево"" 800 метров 
в сторону МКАД";21 июня 2021 г. - 9 июля 2021 г.;35;Средства родителей
;;;;12 - 30 июля 2021 г.;0;
;;;;2 - 20 августа 2021 г.;44;
ИТОГО:;;;;;2204;
;;;;;;
По состоянию на 30 агуста  2021 г. в детских оздоровительных лагерях, расположенных на территории города Москвы, отдохнуло 2 204 детей.;;;;;;
.;;;;;;
